bidPrice,Capacity,indx,Type,ConstructionTime,DeRateCap,Battery,bidBus,STRIKEPriceGBP
0.0,117647,32.0,CCGT,3,99999.95,0,25,0.0
0.0,117647,17.0,CCGT,3,99999.95,0,21,0.0
0.0,250000,17.0,Biomass,2,220000.0,0,17,0.0
0.0,117647,0.0,CCGT,3,99999.95,0,2,0.0
0.0,117647,48.0,CCGT,3,99999.95,0,12,0.0
0.0,117647,47.0,CCGT,3,99999.95,0,13,0.0
0.0,117647,11.0,CCGT,3,99999.95,0,6,0.0
0.0,250000,49.0,Biomass,2,220000.0,0,15,0.0
0.0,250000,7.0,OCGT,2,230000.0,0,17,0.0
0.0,117647,9.0,CCGT,3,99999.95,0,30,0.0
0.0,500000,13.0,BECCS,3,440000.0,0,20,0.0
0.0,250000,13.0,OCGT,2,230000.0,0,10,0.0
0.0,117647,20.0,CCGT,3,99999.95,0,28,0.0
0.0,117647,50.0,CCGT,3,99999.95,0,22,0.0
0.0,117647,30.0,CCGT,3,99999.95,0,15,0.0
0.0,117647,10.0,CCGT,3,99999.95,0,3,0.0
0.0,117647,25.0,CCGT,3,99999.95,0,6,0.0
0.0,117647,44.0,CCGT,3,99999.95,0,21,0.0
0.0,250000,44.0,OCGT,2,230000.0,0,5,0.0
